2020-03-06 11:06:56 method: com.autotest.util.CaseUtil.<clinit>(CaseUtil.java:22) - [ INFO ]----加载用例信息
2020-03-06 11:06:57 method: com.autotest.util.RestUtil.<clinit>(RestUtil.java:21) - [ INFO ]----加载接口信息
2020-03-06 11:06:57 method: com.autotest.util.VariableUtil.<clinit>(VariableUtil.java:31) - [ INFO ]----加载参数化变量信息
2020-03-06 11:06:57 method: com.autotest.util.JDBCUtil.setConnection(JDBCUtil.java:82) - [ INFO ]----数据库连接成功
2020-03-06 11:06:57 method: com.autotest.util.JDBCUtil.sqlQuery(JDBCUtil.java:58) - [ INFO ]----数据库连接关闭
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/login】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"1","code":"10001","message":"成功"}】
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/login】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20111","message":"用户名或者密码错误"}】
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/login】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20103","message":"参数不正常或不能为空"}】
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/login】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20103","message":"参数不正常或不能为空"}】
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:46) - [ INFO ]----接口调用前的数据验证查询
2020-03-06 11:06:58 method: com.autotest.util.JDBCUtil.setConnection(JDBCUtil.java:82) - [ INFO ]----数据库连接成功
